data_sources,study_design,study_accrural_periods,sample_size,exposures,exposure_ascertainment,outcomes,outcome_ascertainment,all_results,conclusions,include,original_text
"Surveillance, Epidemiology and End Results Program (SEER) data (SEER13)",Cohort,1992 to 2010,441504,radiation therapy (external-beam radiation therapy),,incidence of second primary malignancies,,"Prostate cancer survivors had a lower risk of being diagnosed with another cancer overall compared with the US population (SIR = 0.60; 95% confidence interval, 0.60-0.61). The risks of leukemia and cancers of the oral cavity and pharynx, esophagus, stomach, colon and rectum, liver, gallbladder, pancreas, lung and bronchus, and larynx were significantly lower. Conversely, these patients had a greater risk of bladder, kidney, and endocrine and soft tissue cancers. Men who received treatment with radiation therapy (external-beam radiation therapy) had long-term increases in their risk of bladder cancer (SIR = 1.42) and rectal cancer (SIR = 1.70) risk compared with who did not receive radiation (SIR bladder = 0.76; SIR rectal = 0.74).","Prostate cancer survivors remain at risk of subsequent malignancies, and race and treatment choice are important determinants of long-term risk.",True,"Title: Risk of second primary tumors in men diagnosed with prostate cancer: a population-based cohort study.
Abstract: BACKGROUND: The survival of men diagnosed with prostate cancer has improved over time, and the current 10-year relative survival rate is 99.7%. The long survival of patients with this common cancer raises questions about the risk of a second primary cancer and the need for continued surveillance., METHODS: A population-based cohort of 441,504 men who were diagnosed with prostate cancer between 1992 and 2010 was identified from Surveillance, Epidemiology and End Results Program (SEER) data (SEER13). The standardized incidence ratio (SIR) was calculated as an estimate of the risk of a second primary malignancy based on the incidence in the general population., RESULTS: Prostate cancer survivors had a lower risk of being diagnosed with another cancer overall compared with the US population (SIR = 0.60; 95% confidence interval, 0.60-0.61). The risks of leukemia and cancers of the oral cavity and pharynx, esophagus, stomach, colon and rectum, liver, gallbladder, pancreas, lung and bronchus, and larynx were significantly lower. Conversely, these patients had a greater risk of bladder, kidney, and endocrine and soft tissue cancers. Men who received treatment with radiation therapy (external-beam radiation therapy) had long-term increases in their risk of bladder cancer (SIR = 1.42) and rectal cancer (SIR = 1.70) risk compared with who did not receive radiation (SIRbladder = 0.76; SIRrectal = 0.74). There were significant racial differences in the risk of being diagnosed with a second primary cancer, and the magnitude and direction of these risks depended on tumor type., CONCLUSIONS: Prostate cancer survivors remain at risk of subsequent malignancies, and race and treatment choice important determinants of long-term risk. Copyright © 2014 American Cancer Society."
,,,0,,,,,,,False,"Title: [An 18-year follow-up of a patient with four asynchronous malignant tumors of the urogenital system].
Abstract: nan"
,,,0,,,,,,,False,"Title: The structural analysis of MARK4 and the exploration of specific inhibitors for the MARK family: a computational approach to obstruct the role of MARK4 in prostate cancer progression.
Abstract: Prostate cancer, the second most common form of cancer in adult males is generally treated using hormone therapy but the emergence of hormone refractory prostate cancer poses serious challenges to the existing therapeutic strategies. However, protein kinases are now currently identified as potent targets for treating cancer, and MARK4L, a Ser/Thr kinase in the Par-1 family, is one such kinase that is expressed primarily in the testis and is involved in the regulation of spermatid polarity during spermatogenesis. It is also associated with Wnt-induced prostate carcinogenesis, making it a promising target for the development of anti-cancer therapeutics as part of alternative therapies to counter prostate cancer. In the present work, we predicted the three dimensional structure for the kinase domain of MARK4 and analyzed its structural properties. The results illuminate the presence of the unusual DFG Asp-in/alphaC helix-out conformation along with the absence of an additional hydrophobic pocket adjacent to the ATP binding site in its inactive state. These structural features accentuate the need for new specific therapeutics against MARK4. Hence, a robust ligand-based pharmacophore model AARRR.9 was developed based on the three dimensional chemical features of 9-oxo-9H-acridin-10-yl derivatives which possess a high specificity towards MARK kinases. A pharmacophore based search identified six potent compounds with a better specificity and binding efficiency to MARK4 bearing stable interactions with key residues K88, A138, D199 and E106, thereby making them tough ATP competitors. The closure of the catalytic cleft observed in the ligand bound complexes and its independency to the movement of the T-loop makes them promising candidates in hampering the role of MARK4 in prostate cancer."
"West of Scotland, UK cancer registry data from adults diagnosed with cancer between 2000 and 2004 (n = 57,393)",Cohort,2000 to 2004,57393,,,Incidence of second primary cancers,Estimated indirectly standardised incidence ratios (SIR) with 95% confidence intervals (CI),"High incidence of cancer during the first 60 days following diagnosis (SIR = 2.36, 95% CI = 2.12 to 2.63). Excluding this period, risks were not raised overall but were high for specific groups: women <50 years with breast cancer (SIR = 2.13, 95% CI = 1.58 to 2.78), bladder cancer (SIR = 1.41, 95% CI = 1.19 to 1.67), head & neck cancer (SIR = 1.93, 95% CI = 1.67 to 2.21). Head & neck cancer patients had increased risks of lung cancer (SIR = 3.75, 95% CI = 3.01 to 4.62), oesophageal (SIR = 4.62, 95% CI = 2.73 to 7.29) and other head & neck tumours (SIR = 6.10, 95% CI = 4.17 to 8.61). Patients with bladder cancer had raised risks of lung (SIR = 2.18, 95% CI = 1.62 to 2.88) and prostate (SIR = 2.41, 95% CI = 1.72 to 3.30) cancer.","Relative risks of second primary cancers may be smaller than previously reported. Premenopausal women with breast cancer and patients with malignant melanomas, bladder and head & neck cancers may benefit from increased surveillance and advice to avoid known risk factors.",False,"Title: Second primary cancer risk - the impact of applying different definitions of multiple primaries: results from a retrospective population-based cancer registry study.
Abstract: BACKGROUND: There is evidence that cancer survivors are at increased risk of second primary cancers. Changes in the prevalence of risk factors and diagnostic techniques may have affected more recent risks., METHODS: We examined the incidence of second primary cancer among adults in the West of Scotland, UK, diagnosed with cancer between 2000 and 2004 (n = 57,393). We used National Cancer Institute Surveillance Epidemiology and End Results and International Agency for Research on Cancer definitions of multiple primary cancers and estimated indirectly standardised incidence ratios (SIR) with 95% confidence intervals (CI)., RESULTS: There was a high incidence of cancer during the first 60 days following diagnosis (SIR = 2.36, 95% CI = 2.12 to 2.63). When this period was excluded the risk was not raised, but it was high for some patient groups; in particular women aged <50 years with breast cancer (SIR = 2.13, 95% CI = 1.58 to 2.78), patients with bladder (SIR = 1.41, 95% CI = 1.19 to 1.67) and head & neck (SIR = 1.93, 95% CI = 1.67 to 2.21) cancer. Head & neck cancer patients had increased risks of lung cancer (SIR = 3.75, 95% CI = 3.01 to 4.62), oesophageal (SIR = 4.62, 95% CI = 2.73 to 7.29) and other head & neck tumours (SIR = 6.10, 95% CI = 4.17 to 8.61). Patients with bladder cancer had raised risks of lung (SIR = 2.18, 95% CI = 1.62 to 2.88) and prostate (SIR = 2.41, 95% CI = 1.72 to 3.30) cancer., CONCLUSIONS: Relative risks of second primary cancers may be smaller than previously reported. Premenopausal women with breast cancer and patients with malignant melanomas, bladder and head & neck cancers may benefit from increased surveillance and advice to avoid known risk factors."
"Data collected from 242 participants scheduled to receive radiotherapy for prostate cancer at 76 community-based and tertiary medical sites in the United States and Canada between November 2009 and February 2012, with follow-up through March 2013.",Experimental,November 2009 to February 2012,242,"Radiotherapy for prostate cancer (external radiotherapy 63%, brachytherapy 37%)",Participants were assigned to receive either 5 mg of tadalafil daily or placebo for 24 weeks starting with radiotherapy.,"Erectile function, overall sexual function, sexual satisfaction, marital satisfaction, and adverse events.","Participant-reported International Index of Erectile Function, Sexual Adjustment Questionnaire, and Locke Marital Adjustment Test before radiotherapy and at specified follow-up intervals.","Among 221 evaluable participants, 80 (79%; 95% CI, 70%-88%) assigned to receive tadalafil retained erectile function between weeks 28 and 30 compared with 61 (74%; 95% CI, 63%-85%) assigned to receive placebo (P = .49); an absolute difference of 5% (95% CI, -9% to 19%). A significant difference was also not observed at 1 year (72%; 95% CI, 60%-84% vs 71%; 95% CI, 59%-84%; P = .93). Tadalafil was not associated with significantly improved overall sexual function or satisfaction; a significant difference was not observed in any domain subscale. Partners of men assigned tadalafil noted no significant effect on sexual satisfaction, and marital adjustment was not significantly improved in participants or partners.","Among men undergoing radiotherapy for prostate cancer, daily use of tadalafil compared with placebo did not result in improved erectile function. These findings do not support daily use of tadalafil to prevent erectile dysfunction in these patients.",False,"Title: Tadalafil for prevention of erectile dysfunction after radiotherapy for prostate cancer: the Radiation Therapy Oncology Group [0831] randomized clinical trial.
Abstract: IMPORTANCE: Tadalafil is used to treat erectile dysfunction after prostate cancer treatment, but its role as a preventive agent is undefined., OBJECTIVES: To determine primarily whether tadalafil preserved erectile function in men treated with radiotherapy for prostate cancer, and secondarily to determine whether participant- or partner-reported overall sexual function and sexual and marital satisfaction were affected., DESIGN, SETTING, AND PARTICIPANTS: Stratified, placebo-controlled, double-blind, parallel-group study with 1:1 randomization at 76 community-based and tertiary medical sites in the United States and Canada. Two hundred forty-two participants with intact erectile function scheduled to receive radiotherapy for prostate cancer were recruited between November 2009 and February 2012 with follow-up through March 2013., INTERVENTIONS: One hundred twenty-one participants were assigned 5 mg of tadalafil daily and 121 were assigned placebo for 24 weeks starting with external radiotherapy (63%) or brachytherapy (37%). Participant -reported International Index of Erectile Function response before radiotherapy and at weeks 2 and 4, between weeks 20 and 24, between weeks 28 and 30, and 1 year thereafter. Participants and partners could respond also to the Sexual Adjustment Questionnaire and to the Locke Marital Adjustment Test before radiotherapy, between weeks 20 and 24 and weeks 28 and 30, and at 1 year., MAIN OUTCOMES AND MEASURES: Primary outcome was off-drug spontaneous erectile function 28 to 30 weeks after radiotherapy started. Secondary end points were spontaneous erection at 1 year; overall sexual function and satisfaction; marital adjustment; and partner-reported satisfaction and marital adjustment at 28 to 30 weeks and 1 year, predictors of tadalafil response; and adverse events., RESULTS: Among 221 evaluable participants, 80 (79%; 95% CI, 70%-88%) assigned to receive tadalafil retained erectile function between weeks 28 and 30 compared with 61 (74%; 95% CI, 63%-85%) assigned to receive placebo (P = .49); an absolute difference of 5% (95% CI, -9% to 19%). A significant difference was also not observed at 1 year (72%; 95% CI, 60%-84% vs 71%; 95% CI, 59%-84%; P = .93). Tadalafil was not associated with significantly improved overall sexual function or satisfaction; a significant difference was not observed in any domain subscale. Partners of men assigned tadalafil noted no significant effect on sexual satisfaction, and marital adjustment was not significantly improved in participants or partners., CONCLUSIONS AND RELEVANCE: Among men undergoing radiotherapy for prostate cancer, daily use of tadalafil compared with placebo did not result in improved erectile function. These findings do not support daily use of tadalafil to prevent erectile dysfunction in these patients., TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00931528."
"SEER-Medicare linked data, diagnosed with localized prostate cancer between 2004 and 2009, followed through 2010",Cohort,2004 to 2009,48050,Radiotherapy for prostate cancer,Not specified in the article,Incidence/risk of second malignancy/second primary cancers,Not specified in the article,"In patients who received radiotherapy star ranking was not associated with treatment related morbidity. In all patients star ranking was not significantly associated with all-cause mortality (HR 0.99, 95% CI 0.84-1.15) or secondary cancer therapy (HR 1.04, 95% CI 0.91-1.20).","We found no consistent association between health care system quality and outcomes, which questions how meaningful these measures ultimately are for patients.",True,"Title: Adherence to performance measures and outcomes among men treated for prostate cancer.
Abstract: PURPOSE: We assessed the relationship between health care system performance on nationally endorsed prostate cancer quality of care measures and prostate cancer treatment outcomes., MATERIALS AND METHODS: This retrospective cohort study included 48,050 men from SEER-Medicare linked data diagnosed with localized prostate cancer between 2004 and 2009, and followed through 2010. Based on a composite quality measure we categorized the health care systems in which these men were treated into 1-star (bottom 20%), 2-star (middle 60%) and 3-star (top 20%) systems. We then examined the association of health care system level quality of care with outcomes using multivariable logistic and Cox regression., RESULTS: Patients who underwent prostatectomy in 3-star vs 1-star health care systems were at lower risk for perioperative complications (OR 0.80, 95% CI 0.64-1.00). However, they were more likely to undergo a procedure addressing treatment related morbidity, eg for sexual morbidity (11.3% vs 7.8%, p = 0.043). In patients who received radiotherapy star ranking was not associated with treatment related morbidity. In all patients star ranking was not significantly associated with all-cause mortality (HR 0.99, 95% CI 0.84-1.15) or secondary cancer therapy (HR 1.04, 95% CI 0.91-1.20)., CONCLUSIONS: We found no consistent association between health care system quality and outcomes, which questions how meaningful these measures ultimately are for patients. Thus, future studies should focus on developing more discriminative quality measures. Copyright © 2014 American Urological Association Education and Research, Inc. Published by Elsevier Inc. All rights reserved."
2205 consecutive patients selected for radical prostatectomy,Cohort,,2205,"radiotherapy for prostate cancer (not explicitly mentioned, but implied as part of treatment for prostate cancer)",,"overall mortality, second cancers","competing risk analysis, Cox proportional hazard models","Age, Gleason score, tumor stage, Charlson score, American Society of Anesthesiologists (ASA) physical status class and body mass index were identified as significant predictors of overall mortality. Competing risk analysis revealed that the excess mortality in patients with a body mass index of 30 kg/m2 or higher was attributable to competing mortality including second cancers, but not to prostate cancer mortality.","Stratifying patients by a combined consideration of the comorbidity measures Charlson score, ASA classification and body mass index may assist clinical decision making in elderly candidates for radical prostatectomy.",False,"Title: A combined index to classify prognostic comorbidity in candidates for radical prostatectomy.
Abstract: BACKGROUND: In patients with early prostate cancer, stratification by comorbidity could be of importance in clinical decision making as well as in characterizing patients enrolled into clinical trials. In this study, we investigated several comorbidity classifications as predictors of overall mortality after radical prostatectomy, searching for measures providing complementary prognostic information which could be combined into a single score., METHODS: The study sample consisted of 2205 consecutive patients selected for radical prostatectomy with a mean age of 64 years and a mean follow-up of 9.2 years (median: 8.6). Seventy-four patients with incomplete tumor-related data were excluded. In addition to age and tumor-related parameters, six comorbidity classifications and the body mass index were assessed as possible predictors of overall mortality. Kaplan-Meier curves and Mantel-Haenszel hazard ratios were used for univariate analysis. The impact of different causes of death was analyzed by competing risk analysis. Cox proportional hazard models were calculated to analyze combined effects of variables., RESULTS: Age, Gleason score, tumor stage, Charlson score, American Society of Anesthesiologists (ASA) physical status class and body mass index were identified a significant predictors of overall mortality in the multivariate analysis regardless whether two-sided and three-sided stratifications were used. Competing risk analysis revealed that the excess mortality in patients with a body mass index of 30 kg/m2 or higher was attributable to competing mortality including second cancers, but not to prostate cancer mortality., CONCLUSION: Stratifying patients by a combined consideration of the comorbidity measures Charlson score, ASA classification and body mass index may assist clinical decision making in elderly candidates for radical prostatectomy."
"National Cancer Institute's Surveillance, Epidemiology and End Results database; patients diagnosed with rectal cancer from 1992 to 2010.",Cohort,1992 to 2010,0,Radiotherapy (preoperative and postoperative) for rectal cancer,Receipt and sequence of radiation therapy assessed through patient records in the SEER database.,"Incidence of second primary cancers, specifically thyroid cancers, leukemia, and prostate cancer.",Standardized incidence ratios and Cox proportional hazards model used to assess outcomes.,"The hazard ratio for developing any type of second primary was 12 % higher in patients receiving preoperative radiotherapy (HR 95 % CI 1.12 (1.0, 1.2)), and 33 % lower for patients receiving postoperative radiotherapy (HR 95 % CI 0.75 (0.7, 0.8)), relative to patients who did not receive radiation therapy. Secondary rectal cancers were reduced 170 % after postoperative radiation and 103 % after preoperative radiation, compared to the non-receipt of radiation therapy. Rectal cancer patients undergoing radiation therapy are at a higher risk of thyroid cancers and leukemia, but males have a lower risk of prostate cancer.","Preoperative radiation therapy is advantageous for reducing rectal cancer recurrence, while postoperative radiation is beneficial for reducing second primary cancers.",False,"Title: Multiple primary tumors following stage II and III rectal cancer in patients receiving radiotherapy, 1998-2010.
Abstract: OBJECTIVE: This report investigated the impact of radiation therapy among stage II/III rectal cancer patients who were resected for cure and then developed second primary cancer., METHODS: The analysis included patients diagnosed with rectal cancer from 1992 to 2010 and who were registered in the National Cancer Institute's Surveillance, Epidemiology and End Results database. Standardized incidence ratios assessed the location of second primary cancers by the receipt and sequence of radiation therapy. A Cox proportional hazards model examined the predictors for patients who developed second primary cancers., RESULTS: The hazard ratio for developing any type of second primary was 12 % higher in patients receiving preoperative radiotherapy, Hazard Ratio and 95 % confidence interval, HR 95 % CI 1.12 (1.0, 1.2), and 33 % lower for patients receiving postoperative radiotherapy, HR 95 % CI 0.75 (0.7, 0.8), relative to patients who did not receive radiation therapy. The location of the second cancer varied by both the receipt and sequence of radiation therapy. Secondary rectal cancers were reduced 170 % after postoperative radiation and 103 % after preoperative radiation, compared to the non-receipt of radiation therapy. The impact of radiation therapy on secondary colon cancers was not as marked. Rectal cancer patients undergoing radiation therapy are at a higher risk of thyroid cancers and leukemia, but males have a lower risk of prostate cancer., CONCLUSIONS: While preoperative radiation therapy is advantageous for reducing rectal cancer recurrence, this study identifies advantages of postoperative radiation for reducing second primary cancers. This research will help improve recommendations for postdiagnosis surveillance in patients with rectal cancer."
LC patients treated from 2004 to 2006 at the institution,Cohort,2004 to 2006,4142,Previous malignancy (PM) including prostate cancer,Review of patient records for history of PM,Incidence of lung cancer (LC) in patients with a history of PM,Diagnosis of LC based on clinical evaluation and records,"A total of 444 LC patients with a history of PM (prevalence of 14.1%). PM were most often located in breast (15.5%), prostate (14.9%), bladder (9.0%) and kidney (8.8%). Median interval until diagnosis of LC was 72.2 months, with most LC diagnosed 5 years after PM diagnosis. NSCLC patients with PM and stage IV disease showed a favorable overall survival (p < 0.0001). SCLC patients had similar survival curves (n.s.).","A considerable subgroup of LC patients has a history of PM that may indicate a favorable prognostic factor. However, these patients should be treated similar to other LC patients.",False,"Title: Characteristics of lung cancer after a previous malignancy.
Abstract: BACKGROUND: In the era of improving overall survival rates of malignant diseases, the impact of a previous malignancy (PM) on treatment and outcome of lung cancer (LC) remains unclear., METHODS: We reviewed all LC patients from our institution that were treated from 2004 to 2006 for the occurrence of LC with PM excluding patients with multiple primary LC., RESULTS: A total of 444 and 2698 LC patients with and without a history of a PM were identified (prevalence of 14.1%). PM were most often located in breast (15.5%), prostate (14.9%), bladder (9.0%) and kidney (8.8%). Compared to never smokers, patients with nicotine consumption had more often a cancer history of prostate, gastrointestinal, and the head-neck region. The median interval until diagnosis of LC was 72.2 months (range 0-537 months) with most LC diagnosed 5 years after PM diagnosis. With a similar distribution of histology, stage and localization compared to controls, NSCLC patients with PM and stage IV disease showed a favorable overall survival (p < 0.0001). In contrast, SCLC patients had similar survival curves (n.s.)., CONCLUSIONS: A considerable subgroup of LC patients has a history of PM that may indicate a favorable prognostic factor. However, these patients should be treated similar to other LC patients. Copyright © 2014 Elsevier Ltd. All rights reserved."
"All invasive cutaneous malignant melanomas (CMM, N = 28 069) and squamous cell carcinomas (SCC, N = 24 620) diagnosed in Norway during 1955-2008.",Cohort,1955-2008,52000,Initial skin cancer (CMM and SCC),Diagnosis of invasive cutaneous malignant melanomas and squamous cell carcinomas,New primary cancers following initial skin cancer,Comparison of rates of new primary cancers in skin cancer survivors to rates of primary malignancies in the general population using standardized incidence ratios (SIR) and discrete-time logistic regression models.,"9608 new primary cancers occurred after an initial skin cancer. SIR analyses showed 50% and 90% increased risks for any cancer after CMM and SCC, respectively (p < 0.01). The logistic regression model suggested even stronger increase after SCC (130%). The highest risk was seen for subsequent skin cancers, but several non-skin cancers were also diagnosed in excess: oral, lung, colon, breast, prostate, thyroid, leukemia, lymphoma and central nervous system.","Our results provide information on shared environmental and genetic risk factors for first and later cancers and may help to identify individuals at high risk for subsequent cancers, which will be important as skin cancer incidence continues to rise.",False,"Title: New malignancies after squamous cell carcinoma and melanomas: a population-based study from Norway.
Abstract: BACKGROUND: Skin cancer survivors experience an increased risk for subsequent malignancies but the associated risk factors are poorly understood. This study examined the risk of a new primary cancer following an initial skin cancer and assessed risk factors associated with second primary cancers., METHODS: All invasive cutaneous malignant melanomas (CMM, N = 28 069) and squamous cell carcinomas (SCC, N = 24 620) diagnosed in Norway during 1955-2008 were included. Rates of new primary cancers in skin cancer survivors were compared to rates of primary malignancies in the general population using standardized incidence ratios (SIR). Discrete-time logistic regression models were applied to individual-level data to estimate cancer risk among those with and without a prior skin cancer, accounting for residential region, education, income, parenthood, marital status and parental cancer status, using a 20% random sample of the entire Norwegian population as reference. Further analyses of the skin cancer cohort were undertaken to determine risk factors related to subsequent cancers., RESULTS: During follow-up, 9608 new primary cancers occurred after an initial skin cancer. SIR analyses showed 50% and 90% increased risks for any cancer after CMM and SCC, respectively (p < 0.01). The logistic regression model suggested even stronger increase after SCC (130%). The highest risk was seen for subsequent skin cancers, but several non-skin cancers were also diagnosed in excess: oral, lung, colon, breast, prostate, thyroid, leukemia, lymphoma and central nervous system. Factors that were associated with increased risk of subsequent cancers include male sex, older age, lower residential latitude, being married and low education and income. Parental cancer did not increase the risk of a subsequent cancer after SCC, but was a significant predictor among younger CMM survivors., CONCLUSIONS: Our results provide information on shared environmental and genetic risk factors for first and later cancers and may help to identify individuals at high risk for subsequent cancers, which will be important as skin cancer incidence continues to rise."
"Taiwan's National Health Insurance, claim records collected from January 2000 to December 2002, consisting of 10.8 million males and 10.6 million females.",Other,January 2000 - December 2002,9423,,,co-occurrence of second primary malignancy (SPM) in patients with thyroid cancer,Claim records analysis,"A total of 9423 thyroid cancer cases were recorded, with 276,184 SPM cases and 861 co-occurrence cases. Co-occurrence incidence rates for head and neck, breast, digestive system, and lung cancers were 1.93%, 1.59%, 1.44%, and 1.18%, respectively. Malignancies with Q-values >10 included salivary glands, larynx, sarcoma, lymphoid tissue, mouth, central nervous system, and lungs. Prostate cancer had a lower Q-value (1.0-4.9).","The co-occurrence ratio of thyroid cancer and SPM was high, occurring in all organ systems, potentially due to aggressive diagnostic modalities, radioiodine treatment, and pre-existing molecular oncogen mutations.",False,"Title: Co-occurrence of second primary malignancy in patients with thyroid cancer.
Abstract: BACKGROUND: The discovery of asynchronous or synchronous double or multiple malignancies in patients is not uncommon. The co-occurrence of second primary malignancy (SPM) could be randomly occurring or association with risk factors such as environmental, genetic predisposition and therapy-related., MATERIALS AND METHODS: We retrieved ~782 million claim records consisting of 10.8 million males and 10.6 million females from Taiwan's National Health Insurance, which were collected for a period of 3 years (January 2000-December 2002). All the patient records were stratified by gender and ages at a 20-year interval with SPMs and specific groups. Interestingness or Q-value was used to measure strength of the disease-disease associations., RESULTS: A total of 9423 thyroid cancer (female: 7483, male: 1940), 276 184 SPM (female: 141 023, male: 135 161) and 861 co-occurrence cases (female: 583, male: 278) were recorded. The co-occurrence incidence rate of head and neck, breast, digestive system and lung was 1.93%, 1.59%, 1.44% and 1.18%, respectively. Malignancy of salivary glands, laryngx, sarcoma, lymphoid tissue, mouth, central nervous system and lungs found Q-value >10. Malignancies with intermediate Q-values (5.0-9.9) were observed in nasopharynx, kidney and ureter, breast, stomach and skin. Prostate, leukemia, urinary bladder, ovary, colon, liver and uterine cervix cancer have lower Q-values (1.0-4.9)., CONCLUSION: Co-occurrence ratio of thyroid cancer and SPM was high, occurred in all organ systems. We postulated that the aggressive use of modern diagnostic modalities, aggressive radioiodine treatment, pre-existing molecular oncogen mutations, and thyroid hormone for simultaneously supple-mentary and suppressive therapies were responsible. Copyright © The Author 2014. Published by Oxford University Press on behalf of the Association of Physicians. All rights reserved. For Permissions, please email: journals.permissions@oup.com."
"Nationwide cohort of 60,901 non-Hodgkin lymphoma survivors from Finland, Norway, and Sweden diagnosed between 1980 and 2006.",Cohort,1980 to 2006,60901,Non-Hodgkin lymphoma therapy (specific treatments not detailed),Not specified in the article,Incidence of second neoplasms (solid tumors),Diagnosis of second neoplasms based on cancer registry data,"NHL patients showed an increased risk of each of the nine investigated cancer sites: prostate and pancreas (both RRs 1.28), breast (1.37), colorectum (1.48), urinary bladder (1.52), stomach and lung (both RRs 1.87), skin (melanoma 2.27) and kidney (2.56). The RRs showed a U-shaped relationship with time after NHL for all nine second cancer types.","The study provides accurate estimates on the adverse late effects of NHL therapy, which should guide the establishment of cancer prevention strategies in NHL survivors.",False,"Title: Age-time risk patterns of solid cancers in 60 901 non-Hodgkin lymphoma survivors from Finland, Norway and Sweden.
Abstract: Survival after non-Hodgkin lymphoma (NHL) has increased thanks to improved treatment but NHL survivors have an increased risk of second neoplasms. The assessment of cancer risk patterns after NHL may help to quantify the late side-effects of therapy. Poisson regression was used to estimate relative risks (RRs) and absolute incidence rates for nine solid tumours based on a nationwide cohort of 60 901 NHL survivors from Finland, Norway and Sweden. Patients were diagnosed between 1980 and 2006 and developed 6815 s neoplasms. NHL patients showed an increased risk of each of the nine investigated cancer sites: prostate and pancreas (both RRs 1.28), breast (1.37), colorectum (1.48), urinary bladder (1.52), stomach and lung (both RRs 1.87), skin (melanoma 2.27) and kidney (2.56). The RRs showed a U-shaped relationship with time after NHL for all nine-second cancer types. NHL diagnosis early in life was a risk factor for the development of second cancers with the exception of melanoma, but a risk excess was even observed in patients diagnosed with NHL at age 80+ years. The present study provides accurate estimates on the adverse late effects of NHL therapy, which should guide the establishment of cancer prevention strategies in NHL survivors. Copyright © 2013 John Wiley & Sons Ltd."
UK cancer registry search (Northern and Yorkshire Cancer Registry and Information Service) for 1805 consecutive patients with localized prostate cancer who received monotherapy with I-125 brachytherapy from 1995 to 2006 at a single public hospital.,Cohort,1995 to 2006,1574,I-125 prostate brachytherapy as monotherapy for early prostate cancer,Registry data from patients who underwent I-125 brachytherapy,Incidence of second primary cancers (SPC),Registry data for diagnosis of second primaries after treatment,"In total, 170 patients (10.8%) were diagnosed with second primaries (1 year or more after implant); 20 of these were bladder and 10 rectal cancers. The 10 year cumulative incidences were 14.6, 1 and 0.84% for any second malignancy, bladder and rectal cancer, respectively. Only the standardized incidence rate (SIR) for bladder cancer was higher at 1.54 (95% confidence interval 0.96-2.46) compared with the general population. The SIR for bladder cancer was higher in the first few years after treatment.","Overall, the incidence of SPC after I-125 is comparable with other published data with no significant excess more than 5 years from treatment. Mortality secondary to SPC of the bladder or rectum is unusual.",True,"Title: Second primary cancers occurring after I-125 brachytherapy as monotherapy for early prostate cancer.
Abstract: AIMS: Prostate brachytherapy may be associated with a lower risk of radiation-induced second primary cancer (SPC) as a significantly smaller volume of normal tissue is irradiated when compared with external beam techniques. Limited data are available as it has been a routine treatment option for less than 20 years. This study identified cases of SPC in patients who underwent I-125 prostate brachytherapy as monotherapy in a single institution., MATERIALS AND METHODS: SPC incidence was retrieved by conducting a UK cancer registry search (Northern and Yorkshire Cancer Registry and Information Service) for 1805 consecutive patients with localised prostate cancer who received monotherapy with I-125 brachytherapy from 1995 to 2006 at a single public hospital. Of 1730 UK residents, the completeness of the registry match was 91% (1574 patients). The mean age at treatment (interquartile range) of the cohort was 63 (58-68) years with 1100 patients (70%) over the age of 60 years at treatment. The median (range) follow-up was 8 (6-10) years with 487 patients (31%) having 10 years or more., RESULTS: In total, 170 patients (10.8%) were diagnosed with second primaries (1 year or more after implant); 20 of these were bladder and 10 rectal cancers. The 10 year cumulative incidences were 14.6, 1 and 0.84% for any second malignancy, bladder and rectal cancer, respectively. Only the standardised incidence rate (SIR) for bladder cancer was higher at 1.54 (95% confidence interval 0.96-2.46) compared with the general population. The SIR for bladder cancer was higher in the first few years after treatment, suggesting that the increased incidence of bladder cancer is due to increased urological surveillance., CONCLUSIONS: Overall, the incidence of SPC after I-125 is comparable with other published data with no significant excess more than 5 years from treatment. Mortality secondary to SPC of the bladder or rectum is unusual. Copyright © 2014 The Royal College of Radiologists. Published by Elsevier Ltd. All rights reserved."
