Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Synchronous and metachronous neoplasms in gastric cancer patients: a 23-year study.,"Lawniczak, Malgorzata; Gawin, Alicja; Jaroszewicz-Heigelmann, Halina; Rogoza-Mateja, Wieslawa; Raszeja-Wyszomirska, Joanna; Bialek, Andrzej; Karpinska-Kaczmarczyk, Katarzyna; Starzynska, Teresa","AIM: To determine the prevalence and characteristics of additional primary malignancies in gastric cancer (GC) patients., METHODS: GC patients (862 total; 570 men, 292 women; mean age 59.8 +/- 12.8 years) diagnosed at the Department of Gastroenterology at Pomeranian Medical University over a period of 23 years were included in this retrospective analysis of a prospectively maintained database. Mean follow-up time was 31.3 +/- 38.6 mo (range 1-241 mo). The following clinicopathological features of patients with synchronous tumors were compared to those with metachronous tumors: age, sex, symptom duration, family history of cancer, tumor site, stage (early vs advanced), histology, and blood group. GC patients with and without a second tumor were compared in terms of the same clinicopathological features., RESULTS: Of 862 GC patients, 58 (6.7%) developed a total of 62 multiple primary tumors, of which 39 (63%) were metachronous and 23 (37%) synchronous. Four (6.9%) of the 58 multiple GC patients developed two or more neoplasms. The predominant tumor type of the secondary neoplasms was colorectal (n = 17), followed by lung (n = 9), breast (n = 8), and prostate (n = 7). Age was the only clinicopathological feature that differed between GC patients with synchronous vs metachronous malignancies; GC patients with synchronous neoplasms were older than those with metachronous neoplasms (68.0 +/- 10.3 years vs 59.9 +/- 11.1 years, respectively, P = 0.008). Comparisons between patients with and without a second primary cancer revealed that the only statistically significant differences were in age and blood group. The mean age of the patients with multiple GC was higher than that of those without a second primary tumor (63.4 +/- 11.4 years vs 59.5 +/- 13.0 years, respectively, P = 0.026). GC patients with a second primary tumor were more commonly blood group O than those without (56.2% vs 31.6%, respectively, P = 0.002)., CONCLUSION: GC patients may develop other primary cancers; appropriate preoperative and postoperative diagnostic modalities are thus required, particularly if patients are older and blood group O.",2014,/,World journal of gastroenterology,20,23,Jul-80,,https://dx.doi.org/10.3748/wjg.v20.i23.7480,24966619,#2759,Lawniczak 2014,,
Non melanoma skin cancer and subsequent cancer risk.,"Rees, Judy R; Zens, M Scot; Gui, Jiang; Celaya, Maria O; Riddle, Bruce L; Karagas, Margaret R","INTRODUCTION: Several studies have shown an increased risk of cancer after non melanoma skin cancers (NMSC) but the individual risk factors underlying this risk have not been elucidated, especially in relation to sun exposure and skin sensitivity to sunlight., PURPOSE: The aim of this study was to examine the individual risk factors associated with the development of subsequent cancers after non melanoma skin cancer., METHODS: Participants in the population-based New Hampshire Skin Cancer Study provided detailed risk factor data, and subsequent cancers were identified via linkage with the state cancer registry. Deaths were identified via state and national death records. A Cox proportional hazard model was used to estimate risk of subsequent malignancies in NMSC patients versus controls and to assess the potential confounding effects of multiple risk factors on this risk., RESULTS: Among 3584 participants, risk of a subsequent cancer (other than NMSC) was higher after basal cell carcinoma (BCC) (adjusted HR 1.40 [95% CI 1.15, 1.71]) than squamous cell carcinoma (SCC) (adjusted HR 1.18 [95% CI 0.95, 1.46]) compared to controls (adjusted for age, sex and current cigarette smoking). After SCC, risk was higher among those diagnosed before age 60 (HR 1.96 [95% CI 1.24, 3.12]). An over 3-fold risk of melanoma after SCC (HR 3.62; 95% CI 1.85, 7.11) and BCC (HR 3.28; 95% CI 1.66, 6.51) was observed, even after further adjustment for sun exposure-related factors and family history of skin cancer. In men, prostate cancer incidence was higher after BCC compared to controls (HR 1.64; 95% CI 1.10, 2.46)., CONCLUSIONS: Our population-based study indicates an increased cancer risk after NMSC that cannot be fully explained by known cancer risk factors.",2014,/,PloS one,9,6,e99674,,https://dx.doi.org/10.1371/journal.pone.0099674,24937304,#2760,Rees 2014,,
Synchronous bladder and prostate cancers in the specimens of radical cystoprostatectomy: a multicenter retrospective analysis.,"Ozgur, Berat Cem; Koseoglu, Ersin; Arik, Ali Ihsan; Sarici, Hasmet; Bilgin, Ovunc; Yuceturk, Cem Nedim; Ozer, Elif; Guven, Esref Oguz; Telli, Onur; Atan, Ali; Eroglu, Muzaffer","The purpose of this study was to evaluate the features of prostate cancer that have been incidentally detected in radical cystoprostatectomy specimens of bladder cancer patients. The researchers of the current study retrospectively evaluated the data from 119 men who underwent radical cystoprostatectomy at four referral institutions in Ankara, Turkey. Of the 21 prostate cancer patients, 17 (81%) were aged >= 60 years; 10 (47.6%) had clinically significant diseases; three had a Gleason score of 6, three had a Gleason score of 7, three had a Gleason score of 8, one had a positive surgical margin along with extracapsular invasion of the tumor and a high Gleason score, and three patients had a tumor volume of >= 0.5 cm(3), of which two also had a high Gleason score. Patients were followed-up for a mean of 29 +/- 10.2 months; the overall survival was 96.6% (n = 115) during that period. Preoperative digital rectal examination and prostate-specific antigen values did not differ between the benign and prostate cancer groups. There was no survival advantage in the insignificant prostate cancer and benign prostate groups. No additional benefit for predicting prostate cancer was found with digital rectal examination and prostate-specific antigen tests, although some clinicians advised such. In patients aged < 60 years, organ-sparing cystectomy seems reasonable. In prostate-sparing surgery, candidates who are aged >60 years, the preoperative work-up may routinely include prostate biopsy, especially the apex. Preoperative findings of multifocality of bladder cancers and the presence of carcinoma in situ have the risk of prostatic involvement. Copyright © 2014. Published by Elsevier B.V.",2014,/,The Kaohsiung journal of medical sciences,30,7,371-5,,https://dx.doi.org/10.1016/j.kjms.2014.02.011,24924843,#2761,Ozgur 2014,,
Risk of secondary cancers from scattered radiation during intensity-modulated radiotherapies for hepatocellular carcinoma.,"Kim, Dong Wook; Chung, Kwangzoo; Chung, Weon Kuu; Bae, Sun Hyun; Shin, Dong Oh; Hong, Seongeon; Park, Sung Ho; Park, Sung-Yong; Hong, Chae-Seon; Lim, Young Kyung; Shin, Dongho; Lee, Se Byeong; Lee, Hyun-ho; Sung, Jiwon; Yoon, Myonggeun","PURPOSE: To evaluate and compare the risks of secondary cancers from therapeutic doses received by patients with hepatocellular carcinoma (HCC) during intensity-modulated radiotherapy (IMRT), volumetric arc therapy (VMAT), and tomotherapy (TOMO)., METHODS: Treatments for five patients with hepatocellular carcinoma (HCC) were planned using IMRT, VMAT, and TOMO. Based on the Biological Effects of Ionizing Radiation VII method, the excess relative risk (ERR), excess absolute risk (EAR), and lifetime attributable risk (LAR) were evaluated from therapeutic doses, which were measured using radiophotoluminescence glass dosimeters (RPLGDs) for each organ inside a humanoid phantom., RESULTS: The average organ equivalent doses (OEDs) of 5 patients were measured as 0.23, 1.18, 0.91, 0.95, 0.97, 0.24, and 0.20 Gy for the thyroid, lung, stomach, liver, small intestine, prostate (or ovary), and rectum, respectively. From the OED measurements, LAR incidence were calculated as 83, 46, 22, 30, 2 and 6 per 10(4) person for the lung, stomach, normal liver, small intestine, prostate (or ovary), and rectum., CONCLUSIONS: We estimated the secondary cancer risks at various organs for patients with HCC who received different treatment modalities. We found that HCC treatment is associated with a high secondary cancer risk in the lung and stomach.",2014,/,"Radiation oncology (London, England)",9,101265111,109,,https://dx.doi.org/10.1186/1748-717X-9-109,24886163,#2762,Kim 2014,,
CKD and the risk of incident cancer.,"Lowrance, William T; Ordonez, Juan; Udaltsova, Natalia; Russo, Paul; Go, Alan S","Previous studies report a higher risk of cancer in patients with ESRD, but the impact of less severe CKD on risk of cancer is uncertain. Our objective was to evaluate the association between level of kidney function and subsequent cancer risk. We performed a retrospective cohort study of 1,190,538 adults who were receiving care within a health care delivery system, had a measurement of kidney function obtained between 2000 and 2008, and had no prior cancer. We examined the association between level of eGFR and the risk of incident cancer; the primary outcome was renal cancer, and secondary outcomes were any cancer and specific cancers (urothelial, prostate, breast, lung, and colorectal). During 6,000,420 person-years of follow-up, we identified 76,809 incident cancers in 72,875 subjects. After adjustment for time-updated confounders, lower eGFR (in milliliters per minute per 1.73 m(2)) was associated with an increased risk of renal cancer (adjusted hazard ratio [HR], 1.39; 95% confidence interval [95% CI], 1.22 to 1.58 for eGFR=45-59; HR, 1.81; 95% CI, 1.51 to 2.17 for eGFR=30-44; HR, 2.28; 95% CI, 1.78 to 2.92 for eGFR<30). We also observed an increased risk of urothelial cancer at eGFR<30 but no significant associations between eGFR and prostate, breast, lung, colorectal, or any cancer overall. In conclusion, reduced eGFR is associated with an independently higher risk of renal and urothelial cancer but not other cancer types. Copyright © 2014 by the American Society of Nephrology.",2014,/,Journal of the American Society of Nephrology : JASN,25,10,2327-34,,https://dx.doi.org/10.1681/ASN.2013060604,24876115,#2763,Lowrance 2014,,
Risk of second primary tumors in men diagnosed with prostate cancer: a population-based cohort study.,"Davis, Elizabeth J; Beebe-Dimmer, Jennifer L; Yee, Cecilia L; Cooney, Kathleen A","BACKGROUND: The survival of men diagnosed with prostate cancer has improved over time, and the current 10-year relative survival rate is 99.7%. The long survival of patients with this common cancer raises questions about the risk of a second primary cancer and the need for continued surveillance., METHODS: A population-based cohort of 441,504 men who were diagnosed with prostate cancer between 1992 and 2010 was identified from Surveillance, Epidemiology and End Results Program (SEER) data (SEER13). The standardized incidence ratio (SIR) was calculated as an estimate of the risk of a second primary malignancy based on the incidence in the general population., RESULTS: Prostate cancer survivors had a lower risk of being diagnosed with another cancer overall compared with the US population (SIR = 0.60; 95% confidence interval, 0.60-0.61). The risks of leukemia and cancers of the oral cavity and pharynx, esophagus, stomach, colon and rectum, liver, gallbladder, pancreas, lung and bronchus, and larynx were significantly lower. Conversely, these patients had a greater risk of bladder, kidney, and endocrine and soft tissue cancers. Men who received treatment with radiation therapy (external-beam radiation therapy) had long-term increases in their risk of bladder cancer (SIR = 1.42) and rectal cancer (SIR = 1.70) risk compared with who did not receive radiation (SIRbladder = 0.76; SIRrectal = 0.74). There were significant racial differences in the risk of being diagnosed with a second primary cancer, and the magnitude and direction of these risks depended on tumor type., CONCLUSIONS: Prostate cancer survivors remain at risk of subsequent malignancies, and race and treatment choice important determinants of long-term risk. Copyright © 2014 American Cancer Society.",2014,/,Cancer,120,17,2735-41,,https://dx.doi.org/10.1002/cncr.28769,24842808,#2764,Davis 2014,,
[An 18-year follow-up of a patient with four asynchronous malignant tumors of the urogenital system].,"Alferov, S M; Grishin, M A; Odintsov, S V; Chuprik-Malinovskaia, T P",,2014,/,"Urologiia (Moscow, Russia : 1999)",,1,68-72,,,24772778,#2765,Alferov 2014,,
The structural analysis of MARK4 and the exploration of specific inhibitors for the MARK family: a computational approach to obstruct the role of MARK4 in prostate cancer progression.,"Jenardhanan, Pranitha; Mannu, Jayakanthan; Mathur, Premendu P","Prostate cancer, the second most common form of cancer in adult males is generally treated using hormone therapy but the emergence of hormone refractory prostate cancer poses serious challenges to the existing therapeutic strategies. However, protein kinases are now currently identified as potent targets for treating cancer, and MARK4L, a Ser/Thr kinase in the Par-1 family, is one such kinase that is expressed primarily in the testis and is involved in the regulation of spermatid polarity during spermatogenesis. It is also associated with Wnt-induced prostate carcinogenesis, making it a promising target for the development of anti-cancer therapeutics as part of alternative therapies to counter prostate cancer. In the present work, we predicted the three dimensional structure for the kinase domain of MARK4 and analyzed its structural properties. The results illuminate the presence of the unusual DFG Asp-in/alphaC helix-out conformation along with the absence of an additional hydrophobic pocket adjacent to the ATP binding site in its inactive state. These structural features accentuate the need for new specific therapeutics against MARK4. Hence, a robust ligand-based pharmacophore model AARRR.9 was developed based on the three dimensional chemical features of 9-oxo-9H-acridin-10-yl derivatives which possess a high specificity towards MARK kinases. A pharmacophore based search identified six potent compounds with a better specificity and binding efficiency to MARK4 bearing stable interactions with key residues K88, A138, D199 and E106, thereby making them tough ATP competitors. The closure of the catalytic cleft observed in the ligand bound complexes and its independency to the movement of the T-loop makes them promising candidates in hampering the role of MARK4 in prostate cancer.",2014,/,Molecular bioSystems,10,7,1845-68,,https://dx.doi.org/10.1039/c3mb70591a,24763618,#2766,Jenardhanan 2014,,
Second primary cancer risk - the impact of applying different definitions of multiple primaries: results from a retrospective population-based cancer registry study.,"Coyte, Aishah; Morrison, David S; McLoone, Philip","BACKGROUND: There is evidence that cancer survivors are at increased risk of second primary cancers. Changes in the prevalence of risk factors and diagnostic techniques may have affected more recent risks., METHODS: We examined the incidence of second primary cancer among adults in the West of Scotland, UK, diagnosed with cancer between 2000 and 2004 (n = 57,393). We used National Cancer Institute Surveillance Epidemiology and End Results and International Agency for Research on Cancer definitions of multiple primary cancers and estimated indirectly standardised incidence ratios (SIR) with 95% confidence intervals (CI)., RESULTS: There was a high incidence of cancer during the first 60 days following diagnosis (SIR = 2.36, 95% CI = 2.12 to 2.63). When this period was excluded the risk was not raised, but it was high for some patient groups; in particular women aged <50 years with breast cancer (SIR = 2.13, 95% CI = 1.58 to 2.78), patients with bladder (SIR = 1.41, 95% CI = 1.19 to 1.67) and head & neck (SIR = 1.93, 95% CI = 1.67 to 2.21) cancer. Head & neck cancer patients had increased risks of lung cancer (SIR = 3.75, 95% CI = 3.01 to 4.62), oesophageal (SIR = 4.62, 95% CI = 2.73 to 7.29) and other head & neck tumours (SIR = 6.10, 95% CI = 4.17 to 8.61). Patients with bladder cancer had raised risks of lung (SIR = 2.18, 95% CI = 1.62 to 2.88) and prostate (SIR = 2.41, 95% CI = 1.72 to 3.30) cancer., CONCLUSIONS: Relative risks of second primary cancers may be smaller than previously reported. Premenopausal women with breast cancer and patients with malignant melanomas, bladder and head & neck cancers may benefit from increased surveillance and advice to avoid known risk factors.",2014,/,BMC cancer,14,100967800,272,,https://dx.doi.org/10.1186/1471-2407-14-272,24742063,#2767,Coyte 2014,,
Tadalafil for prevention of erectile dysfunction after radiotherapy for prostate cancer: the Radiation Therapy Oncology Group [0831] randomized clinical trial.,"Pisansky, Thomas M; Pugh, Stephanie L; Greenberg, Richard E; Pervez, Nadeem; Reed, Daniel R; Rosenthal, Seth A; Mowat, Rex B; Raben, Adam; Buyyounouski, Mark K; Kachnic, Lisa A; Bruner, Deborah W","IMPORTANCE: Tadalafil is used to treat erectile dysfunction after prostate cancer treatment, but its role as a preventive agent is undefined., OBJECTIVES: To determine primarily whether tadalafil preserved erectile function in men treated with radiotherapy for prostate cancer, and secondarily to determine whether participant- or partner-reported overall sexual function and sexual and marital satisfaction were affected., DESIGN, SETTING, AND PARTICIPANTS: Stratified, placebo-controlled, double-blind, parallel-group study with 1:1 randomization at 76 community-based and tertiary medical sites in the United States and Canada. Two hundred forty-two participants with intact erectile function scheduled to receive radiotherapy for prostate cancer were recruited between November 2009 and February 2012 with follow-up through March 2013., INTERVENTIONS: One hundred twenty-one participants were assigned 5 mg of tadalafil daily and 121 were assigned placebo for 24 weeks starting with external radiotherapy (63%) or brachytherapy (37%). Participant -reported International Index of Erectile Function response before radiotherapy and at weeks 2 and 4, between weeks 20 and 24, between weeks 28 and 30, and 1 year thereafter. Participants and partners could respond also to the Sexual Adjustment Questionnaire and to the Locke Marital Adjustment Test before radiotherapy, between weeks 20 and 24 and weeks 28 and 30, and at 1 year., MAIN OUTCOMES AND MEASURES: Primary outcome was off-drug spontaneous erectile function 28 to 30 weeks after radiotherapy started. Secondary end points were spontaneous erection at 1 year; overall sexual function and satisfaction; marital adjustment; and partner-reported satisfaction and marital adjustment at 28 to 30 weeks and 1 year, predictors of tadalafil response; and adverse events., RESULTS: Among 221 evaluable participants, 80 (79%; 95% CI, 70%-88%) assigned to receive tadalafil retained erectile function between weeks 28 and 30 compared with 61 (74%; 95% CI, 63%-85%) assigned to receive placebo (P = .49); an absolute difference of 5% (95% CI, -9% to 19%). A significant difference was also not observed at 1 year (72%; 95% CI, 60%-84% vs 71%; 95% CI, 59%-84%; P = .93). Tadalafil was not associated with significantly improved overall sexual function or satisfaction; a significant difference was not observed in any domain subscale. Partners of men assigned tadalafil noted no significant effect on sexual satisfaction, and marital adjustment was not significantly improved in participants or partners., CONCLUSIONS AND RELEVANCE: Among men undergoing radiotherapy for prostate cancer, daily use of tadalafil compared with placebo did not result in improved erectile function. These findings do not support daily use of tadalafil to prevent erectile dysfunction in these patients., TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00931528.",2014,/,JAMA,311,13,1300-7,,https://dx.doi.org/10.1001/jama.2014.2626,24691606,#2768,Pisansky 2014,,
Adherence to performance measures and outcomes among men treated for prostate cancer.,"Schroeck, Florian R; Kaufman, Samuel R; Jacobs, Bruce L; Skolarus, Ted A; Miller, David C; Montgomery, Jeffrey S; Weizer, Alon Z; Hollenbeck, Brent K","PURPOSE: We assessed the relationship between health care system performance on nationally endorsed prostate cancer quality of care measures and prostate cancer treatment outcomes., MATERIALS AND METHODS: This retrospective cohort study included 48,050 men from SEER-Medicare linked data diagnosed with localized prostate cancer between 2004 and 2009, and followed through 2010. Based on a composite quality measure we categorized the health care systems in which these men were treated into 1-star (bottom 20%), 2-star (middle 60%) and 3-star (top 20%) systems. We then examined the association of health care system level quality of care with outcomes using multivariable logistic and Cox regression., RESULTS: Patients who underwent prostatectomy in 3-star vs 1-star health care systems were at lower risk for perioperative complications (OR 0.80, 95% CI 0.64-1.00). However, they were more likely to undergo a procedure addressing treatment related morbidity, eg for sexual morbidity (11.3% vs 7.8%, p = 0.043). In patients who received radiotherapy star ranking was not associated with treatment related morbidity. In all patients star ranking was not significantly associated with all-cause mortality (HR 0.99, 95% CI 0.84-1.15) or secondary cancer therapy (HR 1.04, 95% CI 0.91-1.20)., CONCLUSIONS: We found no consistent association between health care system quality and outcomes, which questions how meaningful these measures ultimately are for patients. Thus, future studies should focus on developing more discriminative quality measures. Copyright © 2014 American Urological Association Education and Research, Inc. Published by Elsevier Inc. All rights reserved.",2014,/,The Journal of urology,192,3,743-8,,https://dx.doi.org/10.1016/j.juro.2014.03.091,24681332,#2769,Schroeck 2014,,
A combined index to classify prognostic comorbidity in candidates for radical prostatectomy.,"Froehner, Michael; Kellner, Anna-Elisa; Koch, Rainer; Baretton, Gustavo B; Hakenberg, Oliver W; Wirth, Manfred P","BACKGROUND: In patients with early prostate cancer, stratification by comorbidity could be of importance in clinical decision making as well as in characterizing patients enrolled into clinical trials. In this study, we investigated several comorbidity classifications as predictors of overall mortality after radical prostatectomy, searching for measures providing complementary prognostic information which could be combined into a single score., METHODS: The study sample consisted of 2205 consecutive patients selected for radical prostatectomy with a mean age of 64 years and a mean follow-up of 9.2 years (median: 8.6). Seventy-four patients with incomplete tumor-related data were excluded. In addition to age and tumor-related parameters, six comorbidity classifications and the body mass index were assessed as possible predictors of overall mortality. Kaplan-Meier curves and Mantel-Haenszel hazard ratios were used for univariate analysis. The impact of different causes of death was analyzed by competing risk analysis. Cox proportional hazard models were calculated to analyze combined effects of variables., RESULTS: Age, Gleason score, tumor stage, Charlson score, American Society of Anesthesiologists (ASA) physical status class and body mass index were identified a significant predictors of overall mortality in the multivariate analysis regardless whether two-sided and three-sided stratifications were used. Competing risk analysis revealed that the excess mortality in patients with a body mass index of 30 kg/m2 or higher was attributable to competing mortality including second cancers, but not to prostate cancer mortality., CONCLUSION: Stratifying patients by a combined consideration of the comorbidity measures Charlson score, ASA classification and body mass index may assist clinical decision making in elderly candidates for radical prostatectomy.",2014,/,BMC urology,14,100968571,28,,https://dx.doi.org/10.1186/1471-2490-14-28,24678762,#2770,Froehner 2014,,
"Multiple primary tumors following stage II and III rectal cancer in patients receiving radiotherapy, 1998-2010.","Smith-Gagen, Julie; Goodwin, George A 3rd; Tay, Jonathan","OBJECTIVE: This report investigated the impact of radiation therapy among stage II/III rectal cancer patients who were resected for cure and then developed second primary cancer., METHODS: The analysis included patients diagnosed with rectal cancer from 1992 to 2010 and who were registered in the National Cancer Institute's Surveillance, Epidemiology and End Results database. Standardized incidence ratios assessed the location of second primary cancers by the receipt and sequence of radiation therapy. A Cox proportional hazards model examined the predictors for patients who developed second primary cancers., RESULTS: The hazard ratio for developing any type of second primary was 12 % higher in patients receiving preoperative radiotherapy, Hazard Ratio and 95 % confidence interval, HR 95 % CI 1.12 (1.0, 1.2), and 33 % lower for patients receiving postoperative radiotherapy, HR 95 % CI 0.75 (0.7, 0.8), relative to patients who did not receive radiation therapy. The location of the second cancer varied by both the receipt and sequence of radiation therapy. Secondary rectal cancers were reduced 170 % after postoperative radiation and 103 % after preoperative radiation, compared to the non-receipt of radiation therapy. The impact of radiation therapy on secondary colon cancers was not as marked. Rectal cancer patients undergoing radiation therapy are at a higher risk of thyroid cancers and leukemia, but males have a lower risk of prostate cancer., CONCLUSIONS: While preoperative radiation therapy is advantageous for reducing rectal cancer recurrence, this study identifies advantages of postoperative radiation for reducing second primary cancers. This research will help improve recommendations for postdiagnosis surveillance in patients with rectal cancer.",2014,/,Journal of cancer research and clinical oncology,140,6,949-55,,https://dx.doi.org/10.1007/s00432-014-1647-x,24663823,#2771,Smith-Gagen 2014,,
Characteristics of lung cancer after a previous malignancy.,"Reinmuth, Niels; Stumpf, Patrick; Stumpf, Andreas; Muley, Thomas; Kobinger, Sonja; Hoffmann, Hans; Herth, Felix J F; Schnabel, Philipp A; Bischoff, Helge; Thomas, Michael","BACKGROUND: In the era of improving overall survival rates of malignant diseases, the impact of a previous malignancy (PM) on treatment and outcome of lung cancer (LC) remains unclear., METHODS: We reviewed all LC patients from our institution that were treated from 2004 to 2006 for the occurrence of LC with PM excluding patients with multiple primary LC., RESULTS: A total of 444 and 2698 LC patients with and without a history of a PM were identified (prevalence of 14.1%). PM were most often located in breast (15.5%), prostate (14.9%), bladder (9.0%) and kidney (8.8%). Compared to never smokers, patients with nicotine consumption had more often a cancer history of prostate, gastrointestinal, and the head-neck region. The median interval until diagnosis of LC was 72.2 months (range 0-537 months) with most LC diagnosed 5 years after PM diagnosis. With a similar distribution of histology, stage and localization compared to controls, NSCLC patients with PM and stage IV disease showed a favorable overall survival (p < 0.0001). In contrast, SCLC patients had similar survival curves (n.s.)., CONCLUSIONS: A considerable subgroup of LC patients has a history of PM that may indicate a favorable prognostic factor. However, these patients should be treated similar to other LC patients. Copyright © 2014 Elsevier Ltd. All rights reserved.",2014,/,Respiratory medicine,108,6,910-7,,https://dx.doi.org/10.1016/j.rmed.2014.02.015,24650574,#2772,Reinmuth 2014,,
New malignancies after squamous cell carcinoma and melanomas: a population-based study from Norway.,"Robsahm, Trude E; Karagas, Margaret R; Rees, Judy R; Syse, Astri","BACKGROUND: Skin cancer survivors experience an increased risk for subsequent malignancies but the associated risk factors are poorly understood. This study examined the risk of a new primary cancer following an initial skin cancer and assessed risk factors associated with second primary cancers., METHODS: All invasive cutaneous malignant melanomas (CMM, N = 28 069) and squamous cell carcinomas (SCC, N = 24 620) diagnosed in Norway during 1955-2008 were included. Rates of new primary cancers in skin cancer survivors were compared to rates of primary malignancies in the general population using standardized incidence ratios (SIR). Discrete-time logistic regression models were applied to individual-level data to estimate cancer risk among those with and without a prior skin cancer, accounting for residential region, education, income, parenthood, marital status and parental cancer status, using a 20% random sample of the entire Norwegian population as reference. Further analyses of the skin cancer cohort were undertaken to determine risk factors related to subsequent cancers., RESULTS: During follow-up, 9608 new primary cancers occurred after an initial skin cancer. SIR analyses showed 50% and 90% increased risks for any cancer after CMM and SCC, respectively (p < 0.01). The logistic regression model suggested even stronger increase after SCC (130%). The highest risk was seen for subsequent skin cancers, but several non-skin cancers were also diagnosed in excess: oral, lung, colon, breast, prostate, thyroid, leukemia, lymphoma and central nervous system. Factors that were associated with increased risk of subsequent cancers include male sex, older age, lower residential latitude, being married and low education and income. Parental cancer did not increase the risk of a subsequent cancer after SCC, but was a significant predictor among younger CMM survivors., CONCLUSIONS: Our results provide information on shared environmental and genetic risk factors for first and later cancers and may help to identify individuals at high risk for subsequent cancers, which will be important as skin cancer incidence continues to rise.",2014,/,BMC cancer,14,100967800,210,,https://dx.doi.org/10.1186/1471-2407-14-210,24645632,#2773,Robsahm 2014,,
Co-occurrence of second primary malignancy in patients with thyroid cancer.,"Hsu, C-H; Huang, C-L; Hsu, Y-H; Iqbal, U; Nguyen, P-A; Jian, W-S","BACKGROUND: The discovery of asynchronous or synchronous double or multiple malignancies in patients is not uncommon. The co-occurrence of second primary malignancy (SPM) could be randomly occurring or association with risk factors such as environmental, genetic predisposition and therapy-related., MATERIALS AND METHODS: We retrieved ~782 million claim records consisting of 10.8 million males and 10.6 million females from Taiwan's National Health Insurance, which were collected for a period of 3 years (January 2000-December 2002). All the patient records were stratified by gender and ages at a 20-year interval with SPMs and specific groups. Interestingness or Q-value was used to measure strength of the disease-disease associations., RESULTS: A total of 9423 thyroid cancer (female: 7483, male: 1940), 276 184 SPM (female: 141 023, male: 135 161) and 861 co-occurrence cases (female: 583, male: 278) were recorded. The co-occurrence incidence rate of head and neck, breast, digestive system and lung was 1.93%, 1.59%, 1.44% and 1.18%, respectively. Malignancy of salivary glands, laryngx, sarcoma, lymphoid tissue, mouth, central nervous system and lungs found Q-value >10. Malignancies with intermediate Q-values (5.0-9.9) were observed in nasopharynx, kidney and ureter, breast, stomach and skin. Prostate, leukemia, urinary bladder, ovary, colon, liver and uterine cervix cancer have lower Q-values (1.0-4.9)., CONCLUSION: Co-occurrence ratio of thyroid cancer and SPM was high, occurred in all organ systems. We postulated that the aggressive use of modern diagnostic modalities, aggressive radioiodine treatment, pre-existing molecular oncogen mutations, and thyroid hormone for simultaneously supple-mentary and suppressive therapies were responsible. Copyright © The Author 2014. Published by Oxford University Press on behalf of the Association of Physicians. All rights reserved. For Permissions, please email: journals.permissions@oup.com.",2014,/,QJM : monthly journal of the Association of Physicians,107,8,643-8,,https://dx.doi.org/10.1093/qjmed/hcu051,24623860,#2774,Hsu 2014,,
"Age-time risk patterns of solid cancers in 60 901 non-Hodgkin lymphoma survivors from Finland, Norway and Sweden.","Lorenzo Bermejo, Justo; Pukkala, Eero; Johannesen, Tom B; Sundquist, Jan; Hemminki, Kari","Survival after non-Hodgkin lymphoma (NHL) has increased thanks to improved treatment but NHL survivors have an increased risk of second neoplasms. The assessment of cancer risk patterns after NHL may help to quantify the late side-effects of therapy. Poisson regression was used to estimate relative risks (RRs) and absolute incidence rates for nine solid tumours based on a nationwide cohort of 60 901 NHL survivors from Finland, Norway and Sweden. Patients were diagnosed between 1980 and 2006 and developed 6815 s neoplasms. NHL patients showed an increased risk of each of the nine investigated cancer sites: prostate and pancreas (both RRs 1.28), breast (1.37), colorectum (1.48), urinary bladder (1.52), stomach and lung (both RRs 1.87), skin (melanoma 2.27) and kidney (2.56). The RRs showed a U-shaped relationship with time after NHL for all nine-second cancer types. NHL diagnosis early in life was a risk factor for the development of second cancers with the exception of melanoma, but a risk excess was even observed in patients diagnosed with NHL at age 80+ years. The present study provides accurate estimates on the adverse late effects of NHL therapy, which should guide the establishment of cancer prevention strategies in NHL survivors. Copyright © 2013 John Wiley & Sons Ltd.",2014,/,British journal of haematology,164,5,675-83,,https://dx.doi.org/10.1111/bjh.12684,24528128,#2775,LorenzoBermejo 2014,,
